transaction_id,user_id,amount,transaction_type,merchant_category,device_type,time_hour,location_match,num_txn_last_24h,avg_amount_last_7d,is_blacklisted_merchant,fraud
1,8270,767.79,QR,Food,Android,13,1,4,1282.17,0,0
2,1860,443.26,QR,Shopping,Android,2,1,8,484.06,0,0
3,6390,94.93,Autopay,Travel,iOS,22,0,3,1651.91,0,0
4,6191,1245.51,P2P,Other,Android,4,1,1,1533.9,0,0
5,6734,109.84,P2M,Food,iOS,15,0,3,1194.31,0,0
6,7265,1036.77,P2P,Other,iOS,22,1,4,1337.24,0,0
7,1466,600.49,QR,Food,Android,2,1,3,1795.69,0,0
8,5426,389.99,P2P,Other,iOS,7,1,4,867.1,0,0
9,6578,759.44,P2P,Food,Android,5,1,2,1170.0,0,0
10,9322,1183.98,Autopay,Other,Android,16,1,4,941.33,0,0
11,2685,2266.07,P2M,Food,Android,22,1,6,1371.33,0,0
12,1769,245.98,P2M,Travel,iOS,11,1,6,1209.76,0,0
13,7949,2351.94,P2M,Shopping,iOS,15,1,3,878.38,0,0
14,3433,2594.29,QR,Food,iOS,12,1,4,1402.93,0,0
15,6311,1344.02,Autopay,Food,Android,17,1,4,1131.56,0,0
16,6051,1705.85,P2P,Travel,Android,8,1,1,1166.6,0,0
17,7420,943.24,Autopay,Other,iOS,19,0,2,1179.03,0,0
18,2184,31.91,P2P,Food,iOS,7,0,2,1332.69,0,0
19,5555,684.68,P2M,Bills,iOS,22,1,4,1870.16,0,0
20,4385,1100.14,P2P,Other,iOS,5,1,7,985.43,0,0
21,7396,2273.77,P2P,Shopping,iOS,12,0,2,1210.22,0,0
22,9666,676.02,QR,Shopping,iOS,12,1,0,1027.42,0,0
23,3558,1264.68,P2P,Food,Android,5,1,4,1337.95,0,0
24,8849,976.73,P2M,Travel,Android,10,1,3,997.04,0,0
25,3047,263.7,P2M,Other,Android,17,1,2,1414.52,0,0
26,3747,134.48,Autopay,Shopping,iOS,11,1,4,590.31,0,0
27,1189,1111.94,P2P,Shopping,Android,22,1,4,1458.5,0,0
28,3734,213.02,P2M,Food,Android,13,1,7,1317.28,1,1
29,4005,224.5,P2M,Food,iOS,17,1,1,1290.09,0,0
30,5658,826.14,P2P,Shopping,Android,3,0,4,1423.98,0,0
31,2899,1244.98,P2P,Bills,iOS,5,0,3,1555.23,0,0
32,8734,698.45,P2P,Bills,Android,2,1,5,1340.96,1,1
33,2267,1730.14,Autopay,Travel,iOS,1,1,3,1582.57,0,0
34,2528,190.04,P2M,Travel,Android,21,1,1,984.22,0,0
35,4556,232.73,QR,Travel,iOS,18,0,2,987.27,0,0
36,4890,810.58,QR,Food,Android,7,1,3,1309.91,0,0
37,9838,1414.6,P2P,Travel,Android,7,0,6,1331.52,1,1
38,6393,620.1,P2M,Shopping,Android,6,1,3,759.1,0,0
39,9792,8.35,P2M,Travel,Android,2,1,1,1033.58,0,0
40,9433,903.94,P2P,Shopping,Android,22,1,2,1287.56,0,0
41,8513,1343.81,Autopay,Food,iOS,9,1,2,1734.11,0,0
42,3612,258.97,Autopay,Food,Android,2,0,4,1210.3,0,0
43,8041,44.58,QR,Bills,Android,19,1,2,1237.79,0,0
44,7235,583.77,P2P,Shopping,Android,15,1,2,1495.41,0,0
45,6486,34.46,Autopay,Bills,iOS,8,1,2,2029.61,0,0
46,8099,430.31,P2M,Other,iOS,12,1,4,860.73,0,0
47,1775,14.38,P2M,Other,Android,21,1,5,584.26,0,0
48,9226,203.88,Autopay,Shopping,Android,6,0,2,1694.56,0,0
49,4152,393.89,QR,Bills,Android,11,1,7,1585.86,0,0
50,2585,94.76,P2P,Food,iOS,22,1,4,1230.76,0,0
51,4943,96.97,QR,Food,iOS,7,1,2,1607.64,0,0
52,8555,1403.86,QR,Shopping,Android,15,1,3,1222.37,0,0
53,4073,33.85,P2P,Food,Android,8,1,3,1271.77,0,0
54,2021,934.28,P2M,Bills,Android,2,1,3,1485.67,0,0
55,4843,1347.68,QR,Bills,iOS,22,1,4,1646.75,0,0
56,8989,112.07,P2P,Travel,Android,16,1,4,1127.94,0,0
57,7873,173.9,Autopay,Travel,iOS,20,1,5,1085.68,0,0
58,6675,820.65,QR,Food,iOS,14,1,3,1128.16,1,1
59,1161,303.42,P2M,Travel,Android,2,1,3,1164.77,0,0
60,5297,517.66,P2M,Travel,Android,11,0,3,1411.14,0,0
61,1995,1446.32,Autopay,Shopping,iOS,13,1,1,1048.15,0,0
62,8629,118.78,P2P,Other,iOS,16,1,3,883.53,0,0
63,2016,773.34,P2M,Food,iOS,3,1,1,1598.28,0,0
64,8869,2283.35,Autopay,Travel,Android,13,1,2,1447.69,0,0
65,7439,47.35,P2P,Other,iOS,0,1,3,1666.12,1,1
66,8892,49.51,P2P,Shopping,Android,5,1,3,1539.3,0,0
67,7863,647.28,P2P,Other,iOS,6,1,1,1201.87,0,0
68,8916,2576.62,P2M,Food,Android,10,0,3,854.87,0,0
69,9529,199.26,Autopay,Travel,iOS,4,1,2,1109.81,0,0
70,1878,321.33,P2P,Travel,Android,23,1,3,1029.88,0,0
71,5887,83.09,P2P,Shopping,Android,17,1,1,1366.03,0,0
72,5859,359.84,QR,Other,Android,12,1,3,1333.68,0,0
73,7331,36.28,Autopay,Bills,Android,16,0,2,1693.68,0,0
74,9571,394.25,P2M,Travel,iOS,22,1,1,1028.1,0,0
75,9684,648.62,P2P,Bills,iOS,12,1,3,713.33,0,0
76,8208,2951.26,QR,Bills,iOS,19,1,2,1568.53,0,0
77,6276,1364.71,P2P,Travel,Android,22,0,6,1810.5,0,0
78,3062,1381.07,Autopay,Bills,iOS,13,1,0,1613.85,0,0
79,1064,207.17,QR,Other,iOS,13,1,6,937.18,0,0
80,9006,73.02,QR,Travel,iOS,18,1,4,1625.17,0,0
81,3568,739.21,Autopay,Bills,Android,22,1,4,911.23,0,0
82,6463,589.07,QR,Food,Android,9,1,4,1387.53,0,0
83,3027,581.37,P2M,Food,iOS,22,1,0,558.35,0,0
84,3695,92.34,Autopay,Food,iOS,15,1,2,759.64,0,0
85,6258,544.79,P2P,Other,Android,23,1,2,1200.16,1,1
86,6618,130.35,Autopay,Other,Android,20,1,1,680.27,0,0
87,7736,438.7,P2M,Bills,Android,7,1,3,1386.24,0,0
88,1391,51.34,Autopay,Bills,iOS,3,1,2,1277.97,0,0
89,6892,1555.33,P2M,Shopping,iOS,21,1,3,1265.62,0,0
90,4561,10.61,QR,Bills,iOS,20,1,2,1778.59,0,0
91,7184,2241.75,QR,Travel,iOS,5,0,0,1230.96,0,0
92,4099,1589.59,Autopay,Travel,iOS,10,1,2,968.49,0,0
93,7278,1117.43,P2P,Other,iOS,2,1,4,1163.64,0,0
94,9392,3238.76,QR,Other,iOS,3,1,4,1087.54,0,0
95,4104,44.26,P2M,Other,Android,11,1,3,1294.4,0,0
96,8215,820.88,Autopay,Other,iOS,6,1,2,1367.02,1,1
97,3454,1513.98,P2P,Food,Android,13,1,4,2205.51,0,0
98,9996,108.3,P2M,Food,iOS,20,1,2,529.72,0,0
99,3731,703.15,Autopay,Bills,Android,19,1,7,466.28,0,0
100,9154,400.6,P2M,Food,Android,21,0,4,1316.44,0,0
101,6056,457.92,QR,Shopping,Android,4,1,2,1148.09,0,0
102,9110,1949.11,P2M,Food,iOS,1,1,0,1024.88,0,0
103,4840,618.88,QR,Other,Android,21,1,3,796.1,0,0
104,2028,78.32,Autopay,Bills,Android,21,1,5,1797.21,1,1
105,8385,2214.45,P2M,Travel,Android,7,1,7,1411.89,0,0
106,1502,163.86,QR,Shopping,iOS,13,1,5,2026.71,0,0
107,7910,1785.23,P2P,Shopping,iOS,10,1,3,1098.67,0,0
108,7938,2830.18,QR,Travel,Android,20,0,5,1743.46,0,0
